customer_id,name,age,income,credit_score,purchase_amount,satisfaction_rating,region,product_category,membership_type,last_purchase_date,total_orders,is_premium
1,Customer_1,56,77447.55593094493,541,236.89488940292262,4,South,Home,Premium,2024-11-20 12:42:23.743523,7,False
2,Customer_2,69,36444.27814013231,531,17.898435997134925,5,North,Home,Basic,2024-08-22 12:42:23.743533,2,False
3,Customer_3,46,73070.63744015737,583,102.95123843498641,3,North,Books,Basic,2024-08-18 12:42:23.743536,2,False
4,Customer_4,32,42499.78743260372,499,165.99956214340153,3,North,Electronics,Basic,2025-06-19 12:42:23.743537,8,True
5,Customer_5,60,,378,294.4948851271623,2,East,Clothing,VIP,2024-10-26 12:42:23.743538,3,False
6,Customer_6,25,52197.20146086498,472,41.14934536510191,4,East,Electronics,VIP,2024-10-08 12:42:23.743539,6,False
7,Customer_7,78,56849.13836015029,766,129.09157106562895,4,North,Clothing,Premium,2024-11-30 12:42:23.743540,6,False
8,Customer_8,38,88230.59213018857,715,77.39516979226518,5,South,Home,Basic,2024-08-22 12:42:23.743541,2,True
9,Customer_9,56,,748,6.254469792897408,4,North,Electronics,Basic,2024-09-26 12:42:23.743542,5,False
10,Customer_10,75,53865.56123698772,386,117.11821341127988,5,East,Home,Basic,2025-08-01 12:42:23.743543,2,False
11,Customer_11,36,81922.85887803267,400,117.14945082089427,5,South,Sports,Basic,2024-11-13 12:42:23.743544,2,True
12,Customer_12,40,62021.07888423073,307,266.79664688206043,3,East,Home,Premium,2025-02-03 12:42:23.743544,5,True
13,Customer_13,28,37114.49639664104,499,68.77864672313896,4,South,Home,VIP,2024-09-01 12:42:23.743545,4,False
14,Customer_14,28,77119.40770616384,804,26.169068829453323,2,East,Clothing,VIP,2024-08-19 12:42:23.743546,3,False
15,Customer_15,41,35207.62461141295,386,4.55873133974088,4,South,Sports,Premium,2024-09-08 12:42:23.743547,5,True
16,Customer_16,70,37015.05443332581,342,53.72417897432824,5,South,Home,Basic,2024-11-23 12:42:23.743547,8,False
17,Customer_17,53,33029.58601224173,684,35.94168424771409,2,South,Home,Basic,2025-05-30 12:42:23.743548,7,True
18,Customer_18,57,31275.099434440875,734,143.16612765970953,4,South,Sports,Basic,2024-11-24 12:42:23.743549,5,False
19,Customer_19,41,56663.465896796486,707,43.73703577849871,4,West,Sports,Premium,2024-12-16 12:42:23.743550,6,False
20,Customer_20,20,44841.95670912914,782,297.73266277556513,4,East,Electronics,Premium,2025-06-27 12:42:23.743550,3,True
21,Customer_21,39,,316,327.83658574375283,4,East,Clothing,Basic,2025-03-09 12:42:23.743551,5,False
22,Customer_22,70,44634.73876100974,447,96.99779162198968,4,West,Sports,Basic,2024-12-17 12:42:23.743552,8,False
23,Customer_23,19,39641.75488388731,576,264.030212225661,1,South,Sports,Basic,2025-02-10 12:42:23.743553,5,False
24,Customer_24,41,67856.5072859771,531,143.0682475504204,3,South,Books,Basic,2025-01-05 12:42:23.743553,6,True
25,Customer_25,61,38734.827770792734,665,79.1553358168615,1,East,Sports,Basic,2024-10-28 12:42:23.743554,5,True
26,Customer_26,47,,527,19.882654025665133,4,West,Clothing,Basic,2024-08-31 12:42:23.743555,5,False
27,Customer_27,55,77935.87157540486,735,61.35931033493055,2,South,Home,Basic,2024-12-04 12:42:23.743556,7,True
28,Customer_28,19,42201.79217980444,698,82.2969946336244,5,South,Home,Premium,2025-04-30 12:42:23.743557,5,False
29,Customer_29,77,72992.46157666165,510,199.48179385446568,4,South,Home,Basic,2025-05-21 12:42:23.743557,4,True
30,Customer_30,38,60504.234253818955,690,1846.3285382819654,4,North,Home,Basic,2024-12-07 12:42:23.743558,7,False
31,Customer_31,50,54669.315929604854,798,227.95980577615512,4,West,Books,Basic,2024-11-14 12:42:23.743559,6,True
32,Customer_32,29,66053.0451121486,839,112.19289587987835,4,South,Sports,Basic,2025-02-02 12:42:23.743560,9,False
33,Customer_33,75,51081.41748520973,790,14.733950221409728,5,North,Home,Basic,2025-04-28 12:42:23.743560,4,False
